Afghanistan,أفغانستان
Aland Islands,جزر آلاند
Albania,ألبانيا
Algeria,الجزائر
American Samoa,ساموا الأمريكية
Andorra,أندورا
Angola,أنغولا
Anguilla,أنغويلا
Antarctica,أنتاركتيكا
Antigua & Barbuda,أنتيغوا وبربودا
Antigua and Barbuda,أنتيغوا وبربودا
Arab Republic of Egypt,مصر
Argentina,الأرجنتين
Argentine Republic,الأرجنتين
Armenia,أرمينيا
Aruba,أروبا
Australia,أستراليا
Austria,النمسا
Azerbaijan,أذربيجان
Bahamas,جزر البهاما
Bahrain,البحرين
Bangladesh,بنغلاديش
Barbados,بربادوس
Belarus,بيلاروس
Belgium,بلجيكا
Belize,بليز
Benin,بنين
Bermuda,برمودا
Bhutan,بوتان
Bolivarian Republic of Venezuela,فنزويلا
Bolivia,بوليفيا
"Bolivia, Plurinational State of",بوليفيا
"Bonaire, Sint Eustatius and Saba",هولندا الكاريبية
Bosnia & Herzegovina,البوسنة والهرسك
Bosnia and Herzegovina,البوسنة والهرسك
Botswana,بوتسوانا
Bouvet Island,جزيرة بوفيه
Brazil,البرازيل
British Indian Ocean Territory,الإقليم البريطاني في المحيط الهندي
British Virgin Islands,جزر فيرجن البريطانية
Brunei,بروناي
Brunei Darussalam,بروناي
Bulgaria,بلغاريا
Burkina Faso,بوركينا فاسو
Burma,ميانمار (بورما)
Burundi,بوروندي
Cabo Verde,الرأس الأخضر
Cambodia,كمبوديا
Cameroon,الكاميرون
Canada,كندا
Cape Verde,الرأس الأخضر
Caribbean Netherlands,هولندا الكاريبية
Cayman Islands,جزر كايمان
Central African Republic,جمهورية أفريقيا الوسطى
Chad,تشاد
Chile,تشيلي
China,الصين
Christmas Island,جزيرة كريسماس
Cocos (Keeling) Islands,جزر كوكوس (كيلينغ)
Colombia,كولومبيا
Commonwealth of Dominica,دومينيكا
Commonwealth of the Bahamas,جزر البهاما
Commonwealth of the Northern Mariana Islands,جزر ماريانا الشمالية
Comoros,جزر القمر
Congo,الكونغو - برازافيل
Congo - Brazzaville,الكونغو - برازافيل
Congo - Kinshasa,الكونغو - كينشاسا
"Congo, Democratic Republic of the",الكونغو - كينشاسا
"Congo, The Democratic Republic of the",الكونغو - كينشاسا
Cook Islands,جزر كوك
Costa Rica,كوستاريكا
Cote d'Ivoire,ساحل العاج
Croatia,كرواتيا
Cuba,كوبا
Curacao,كوراساو
Curaçao,كوراساو
Cyprus,قبرص
Czech Republic,التشيك
Czechia,التشيك
Côte d'Ivoire,ساحل العاج
Côte d’Ivoire,ساحل العاج
Democratic People's Republic of Korea,كوريا الشمالية
Democratic Republic of Sao Tome and Principe,ساو تومي وبرينسيبي
Democratic Republic of the Congo,الكونغو - كينشاسا
Democratic Republic of Timor-Leste,تيمور - ليشتي
Democratic Socialist Republic of Sri Lanka,سريلانكا
Denmark,الدانمرك
Djibouti,جيبوتي
Dominica,دومينيكا
Dominican Republic,جمهورية الدومينيكان
DR Congo,الكونغو - كينشاسا
East Timor,تيمور - ليشتي
Eastern Republic of Uruguay,أورغواي
Ecuador,الإكوادور
Egypt,مصر
El Salvador,السلفادور
Equatorial Guinea,غينيا الاستوائية
Eritrea,إريتريا
Estonia,إستونيا
Eswatini,إسواتيني
Ethiopia,إثيوبيا
Falkland Islands,جزر فوكلاند
Falkland Islands (Malvinas),جزر فوكلاند
Faroe Islands,جزر فارو
Federal Democratic Republic of Ethiopia,إثيوبيا
Federal Democratic Republic of Nepal,نيبال
Federal Republic of Germany,ألمانيا
Federal Republic of Nigeria,نيجيريا
Federal Republic of Somalia,الصومال
Federated States of Micronesia,ميكرونيزيا
Federative Republic of Brazil,البرازيل
Fiji,فيجي
Finland,فنلندا
France,فرنسا
French Guiana,غويانا الفرنسية
French Polynesia,بولينيزيا الفرنسية
French Republic,فرنسا
French Southern Territories,الأقاليم الجنوبية الفرنسية
Gabon,الغابون
Gabonese Republic,الغابون
Gambia,غامبيا
Georgia,جورجيا
Germany,ألمانيا
